,company,salary,lower_bound_salary,upper_bound_salary,base_pay,bonus_pay,cash_bonus,stock_bonus,Position_clean
359,Capital One,49920,47840,52000,,,,,Data Scientist Intern
360,Elsevier,109500,106000,113000,,,,,Data Scientist
361,Loblaw Digital,145500,140000,151000,145000.0,145000.0,,20000.0,Lead Data Scientist
362,Intact,60320,58240,62400,,,,,Data Scientist Intern
363,Loblaw Companies,70000,67000,73000,70500.0,70500.0,,,Data Scientist
364,Canadian Tire,69000,66000,72000,68000.0,68000.0,2000.0,2000.0,Data Scientist
365,Cirque du Soleil Entertainment Group,100000,95000,105000,100500.0,100500.0,,,Lead Data Scientist
366,1000ml,3000,3000,3000,,,,,Data Scientist
367,Avanade,130000,125000,135000,130000.0,130000.0,5000.0,,Lead Data Scientist
368,dunnhumby,65500,63000,68000,66000.0,66000.0,6500.0,,Data Scientist
369,Scotiabank,62400,60320,64480,,,,,Data Scientist Intern
370,Scotiabank,83200,79040,87360,,,,,Data Scientist Intern
371,CIBC,47000,45000,49000,,,,,Data Scientist Intern
372,CIBC,58240,56160,60320,,,,,Data Scientist Intern
373,IBM,52000,49920,54080,,,,,Data Scientist Intern
374,KPMG,49000,47000,51000,,,,,Data Scientist Intern
375,Shopify,70500,68000,73000,71000.0,71000.0,495.0,,Data Scientist Intern
376,Ontario Ministère des Transports,36000,35000,37000,36000.0,36000.0,,,Data Scientist Intern
377,Statistics Canada,43680,43680,45760,,,,,Data Scientist Intern
378,Unilever,45760,43680,47840,45760.0,45760.0,,,Data Scientist Intern
379,BioWare,48000,46000,50000,,,,,Data Scientist Intern
380,FGF Brands,43680,41600,45760,,,,,Data Scientist Intern
381,Precima,66560,64480,68640,,,,,Data Scientist Intern
382,Ayogo Health,4000,4000,4000,,,,,Data Scientist Intern
383,Samplits,919,888,950,,,,,Data Scientist Intern
384,Buyavette,45760,43680,47840,45760.0,45760.0,2000.0,,Data Scientist Intern
385,IATA,178000,173000,183000,179000.0,179000.0,,,Lead Data Scientist
386,IBM,54080,52000,58240,,,,,Data Scientist Intern
387,RBC,54000,52000,56000,26.0,26.0,,,Data Scientist Intern
388,RBC,52000,52000,54080,,,,,Data Scientist Intern
389,RBC,54500,52000,57000,,,,,Data Scientist Intern
390,Scotiabank,82000,79000,85000,,,,,Data Scientist Intern
391,CIBC,48000,46000,50000,48000.0,48000.0,,,Data Scientist Intern
392,University of Victoria,39500,38000,41000,39500.0,39500.0,,,Data Scientist Intern
393,Fraser Health,43680,41600,45760,43680.0,43680.0,,,Data Scientist Intern
394,Athabasca University,101000,97000,105000,99000.0,99000.0,9000.0,,Lead Data Scientist
395,Athabasca University,100500,96000,105000,99500.0,99500.0,9000.0,,Lead Data Scientist
396,Major cannabis company,94500,91000,98000,,,,,Lead Data Scientist
397,goeasy,134500,129000,140000,135500.0,135500.0,15500.0,,Lead Data Scientist
398,EMAGIN Clean Technologies,104000,99840,108160,104000.0,104000.0,,,Lead Data Scientist
399,Capital One,88000,85000,91000,87000.0,87000.0,10500.0,,Senior Data Scientist
400,Softchoice,47000,45000,49000,,,,,Data Scientist Intern
