,Company,Description,Glassdoor Salary Estimate,Industry,Location,Position,Rating,Revenue,Sector,Size,Type,Year Founded
156,QinetiQ,"Job description/Person specification


The modelling and analysis team provide technical services and the expertise to produce advice and support and to develop innovative solutions for our customers in the area of sensing and situational awareness; primarily for the maritime domain.

This includes carrying out sensor modelling, waveform design and algorithm development for radar and communication systems, design and running of demonstrator systems and data analysis to determine sensor and system performance.

These activities help our customers advance future technologies, improve sensor and system performance for Maritime platforms and help advise the Royal Navy and wider MOD on the performance of the in-service, and future, capability.

Key Accountabilities:
• Exercise considerable discretion on a variety of complex assignments.
o Perform engineering/technical assignments requiring the integration of a wide range of engineering/technical disciplines.
• Research customer’s needs and requirements to align outputs.
o Work directly with customers to ensure successful delivery and identify new business.
• Promote innovation, inventiveness and standards of excellence within the delivery and/or capture teams.

Key Capabilities:
Functional Knowledge:
• Demonstrable expertise on one or more applicable areas of Radar, particularly in a military context.
• Able to provide technical guidance and direction for his/her area of specialisation and to act as a coach or mentor to junior members of the team.
• Able to make evaluative judgements on the analysis of factual information.
• Specifically, demonstrable knowledge/ capability in a number of the following areas is required:
o Radar waveform design, detection, tracking and recognition of targets in Air, Land or Maritime domains.
o Electromagnetic environment and its impact on radar and communication systems.
o System requirements, design solutions, testing and performance of current and future naval radar systems.
o Use and development of radar modelling and assessment tools and analysis of radar data.
• Expertise with some of the following would be desirable, but not essential:
o Radar cross section (RCS) measurement.
o Algorithm development using Matlab, IDL, Python or through theoretical development of ideas.
o Simulation or demonstrator development using C, C++, Java or Simulink.

Problem Solving:
• Able to recognise and resolve complex problems that do not have routine solutions, highlighting key facts and breaking down complex information to component parts.
• Demonstrable success shaping and delivering solutions that require the integration of a wide range of engineering/ technical disciplines.
• Application of sound judgement based on sophisticated analysis, interpretive thinking and comparison of complex alternatives.

Domain Understanding:
• Commercial and market awareness to support development of future opportunities and alignment of delivery against contractual constraints.
• An understanding of the MOD procurement cycle and acquisition process would be desirable.
• Significant experience working with a range of defence customers and/or industry partners would be advantageous.

Interpersonal Skills:
• Strong communication and diplomacy skills are required to guide, influence and convince others, including external customers/ agencies.
• Able to lead medium to large teams on large or complex tasks.

Experience and Qualifications:
• A first degree in Science or Engineering, or an equivalent, nationally recognised, professional qualification, with typically 9-12 years of further on the job experience and growth of key skills, working in the domain and backed up with a tangible track record of achievement.
• Holders would be expected to have fulfilled the requirements to attain full professional membership of a relevant body or similar accreditation.
• Demonstrable experience working as part of technical and non-technical teams. Including joint ownership of goals and accomplishments and individual contributions towards those.
• The successful candidate will be required to undertake and maintain security clearance.

QinetiQ comprises teams of dedicated people; experts in defence, aerospace, security and related markets. We draw on our extensive technical knowledge and intellectual property to provide the know-how and support to solve some of the world’s most challenging problems. Our people make the critical difference to customers by providing unique approaches to problem solving. Why don’t you join some of the world’s finest scientific and technical minds and help us make tomorrow work today?",,Aerospace & Defense,"Portsmouth, South East England, England",Senior Scientist - Radar and Electronic Warfare,3.7,$2 to $5 billion (USD),Aerospace & Defense,5001 to 10000 Employees,Company - Public,2001
157,Lonza,"Today Lonza is a global leader in life sciences. We are more than 15,000 employees in more than 100 locations around the world. While we work in science, there’s no magic formula to how we do it. Our greatest scientific solution is talented people working together, devising ideas that help businesses to help people. In exchange, we let our people own their careers. Their ideas, big and small, genuinely improve the world. And that’s the kind of work we want to be part of.
As a member of the Characterisation team, you will lead, direct and manage analytical comparability and characterisation work/study programs for pre-clinical and clinical phase biopharmaceutical products. Ensuring analytical studies meet the required quality standards, data has been correctly interpreted and the analytical methods used are fit for purpose. You will also be responsible for the flawless planning and execution of analytical testing on therapeutic proteins to support product characterization and biocomparability studies for our customers, contributing to their drug development lifecycle and in getting lifesaving medicines to market.
Key responsibilities:
Effective planning and performing of analytical work, preparation of study protocols and reports and review of analytical data ensuring scientific objectives and timelines are met
Preparation of GMP documentation e.g. SOPs and raise/complete regulatory records as required
Working as part of a multi-disciplinary scientific technical team for commercial and/or innovation projects as required, collaborating with scientists in other Lonza BU as applicable
Identify and drive departmental improvement projects
Ensuing studies performed meet the required quality standards
Maintaining a high level of scientific expertise and keeping up to date with current technical and regulatory expectations
Actively supports the training and coaching of junior scientists
Prepare and deliver training; both classroom sessions and practical demonstrations
Key requirements:
Degree in Chemistry, Biochemistry or Life Science
Familiarity with methods and instruments used for protein characterisation such as LC-MS (peptide mapping, intact mass analysis and oligosaccharide profiling), icIEF, CE-SDS, HPLC (SEC, RP, HIC, IEX, HILIC) and SEC-MALS
Expert appreciation of running Mass Specs and how to use the data
Experience of Complex proteins – Complex antibodies – Complex Molecules
Understanding of protein structure, post translational modifications, degradation pathways for recombinant proteins
Understanding of phase appropriate regulatory and quality expectations for clinical phase analytical characterisation and comparability studies
Understanding of analytical control strategies applied to biopharmaceutical products
Putting together Packages of Work and Designing of Experiments
Every day, Lonza’s products and services have a positive impact on millions of people. For us, this is not only a great privilege, but also a great responsibility. How we achieve our business results is just as important as the achievements themselves. At Lonza, we respect and protect our people and our environment. Any success we achieve is no success at all if not achieved ethically.
People come to Lonza for the challenge and creativity of solving complex problems and developing new ideas in life sciences. In return, we offer the satisfaction that comes with improving lives all around the world. The satisfaction that comes with making a meaningful difference.
#LI-SH2",,Biotech & Pharmaceuticals,"Slough, Berkshire, South East England, England",Characterisation Scientist,3.2,$5 to $10 billion (USD),Biotech & Pharmaceuticals,10000+ Employees,Company - Public,1897
158,Cuvva,"Department
Data and Pricing
Employment Type
Full Time
Location
London, UK
Reporting To
Head of Data & Pricing Analytics

About Cuvva
We’re making insurance radically better. How? By building insurance that’s fair and flexible.

Insurance is completely broken. It’s outdated, complicated, rigid – and we get it, insurance (as you know it) doesn’t sound very exciting. But we’re doing things differently. Using pretty cool technology, we’re making insurance way more fit for the 21st century, building products that actually solve problems.

We were the first company in the UK to sell hourly car insurance via an app. And we’re also the only insurance provider that provides in-app customer support with an average one minute response time. We’ve sold over 2 million policies and supported over 300,000 customers. We’re a strong, talented team of 80+ and growing.

Why work for Cuvva?
We don’t cut corners. We strive to do the right thing, even when that makes life more difficult for us.

We’ve nurtured an awesome team culture. We always speak up when we have an idea - but also know when to let go and get behind something else.

And we’re comfortable giving and receiving honest feedback, and trying new ways of doing things.

We’re building a diverse team from different backgrounds, outlooks and experiences. Everyone is given a fair chance of getting a role at Cuvva. Even if you secretly don’t love insurance, trust us, you’ll love what we’re building.

And if you need any adjustments or support when you’re applying at Cuvva, no worries. Just let us know.
Key Responsibilities
Cuvva’s expert for marketing data science and how that links to our financial performance (inc. incrementality models and marginal return analyses)
Support Cuvva’s marketing team to ensure we are constantly improving our marketing strategy, and optimising our marketing spend
Own the build out of Cuvva’s marketing data analysis stack including data pipeline, tagging and attribution modelling
Lead analysis and decision making across marketing attribution and ROI
A/B testing strategies for adverts, tools, design and experience
Work with Pricing to develop LTV and ROI models to understand fully the best levers for efficient growth within insurance
Mentor and support junior marketing analysts
Requirements
Academic background in mathematics, statistics, data science or machine learning
Experience applying statistical and ML models in increasing business value within a subscription product, ideally within insurance
Hands on experience in multi-touch attribution modelling and report automation
Ability to communicate complex problems to stakeholders with different technical skills
Experience mentoring or managing junior analysts
Comfortable using Google Analytics and facebook for targeted marketing
Experience using data from appsflyer, mixpanel (or similar) and linking to internal financial data to link to financial transactions
Experience with SQL, Statistical modelling packages (e.g. R and/or python)
Benefits
As well as a competitive salary (circa £60k, dependent on experience) and equity based remuneration, benefits of working at Cuvva include:
Brand new MacBook
A day off to volunteer
Professional development budget
Health and wellbeing budget
Office library full of great books
Season ticket loans
Cycle to work scheme
One-to-one sessions with our Sanctus coaches, giving you a safe space to talk about your mental health
Referral bonus when you bring your friends to join the Cuvva team
Fully stocked beer and soft drink fridge - we do team drinks every Thursday
Regular team lunches
Monthly team outings (so far we’ve done things like karaoke, go-karting, bowling and comedy night)
33 days of holiday a year including public holidays
Savings on your Cuvva insurance
About Cuvva
A new kind of insurance
We started with a problem: nobody was offering short-term car insurance by the hour.
But we soon realised insurance isn't just lacking. It's completely broken. It's built on layers of middlemen and outdated systems. So Cuvva turned from a simple idea into a full-blown mission: to offer insurance the way it should be.

We think insurance should be fast, flexible and clear. So we've cut out the middlemen, ditched the jargon and put our heart and soul into customer support.",,Insurance Agencies & Brokerages,"London, England",Senior Data Scientist - Marketing / Growth,4.3,Unknown / Non-Applicable,Insurance,51 to 200 Employees,Company - Private,2014
159,Kainos,"Our people love the exciting and meaningful work they do, the cutting-edge resources and technology they have access to, the benefits we offer and the great community we’ve built. Want to join them?
Consultant Data Scientist – The Job
As a Consultant Data Scientist in Kainos, you’ll be responsible for leading teams and developing high quality solutions that use AI and ML technologies to delight our customers and impact the lives of users worldwide. It’s a fast-paced environment so it is important for you to make sound, reasoned decisions. You’ll do this whilst learning about new technologies and approaches, with talented colleagues that will help you to learn, develop and grow. As the technical leader in the team, you will also interact with customers, share knowledge and mentor those around you.
Essential Experience:
A minimum of a 2.1 degree in Computer Science, Machine Learning, Data Science, Statistics or in a similar highly quantitative field.
A proven ability to solve complex problems with demonstrable ability to learn new business concepts and domains quickly.
Expertise in developing models in languages including Python/R
Expertise using machine learning libraries (e.g. scikit-learn, caret, mlr, mllib)
Significant experience in cleansing, filtering and re-factoring complex data from different sources (including non-traditional data sources).
Expertise of working with Relational databases, NoSQL and various visualisation techniques.
Experience in delivering AI/ML projects to production through leadership and mentoring of junior team members
Strong interpersonal skills with the ability to lead client projects and establish requirements in non-technical language.
Desirable Experience:
An advanced degree in Computer Science, Machine Learning, Operational Research, Statistics or in a similar highly quantitative field.
Multiple examples of delivering data science projects and predictive solutions to live in an industry production environment.
Experience of containerisation and cloud deployment.
Experience of Deep Learning Architectures (e.g. MLP, RNN, CNN)
Who you are
Determined – you’re flexible and overcome obstacles to get the job done to achieve personal and team goals.
Creative – you actively look for better ways to do things using the latest AI technologies to find fresh solutions to complex problems
Honest – always constructive when giving or receiving feedback, being transparent and truthful when dealing with others
Respectful – you treat others as you would like to be treated being encouraging, accepting and supportive to everyone you deal with
Cooperative – you share information, knowledge and experience, understanding the mutual benefits of team working",,IT Services,"London, England",Lead Data Scientist,4.1,$100 to $500 million (USD),Information Technology,1001 to 5000 Employees,Company - Public,1986
160,Lonza,"Today Lonza is a global leader in life sciences. We are more than 15,000 employees in more than 100 locations around the world. While we work in science, there’s no magic formula to how we do it. Our greatest scientific solution is talented people working together, devising ideas that help businesses to help people. In exchange, we let our people own their careers. Their ideas, big and small, genuinely improve the world. And that’s the kind of work we want to be part of.
As an Associate Principal Scientist you will lead, direct and manage analytical comparability and characterisation work/study programs for pre-clinical and clinical phase biopharmaceutical products. Ensuring analytical studies meet the required quality standards, data has been correctly interpreted and the analytical methods used are fit for purpose.
The successful candidate for this role should have a really strong Biochemistry background working extensively with large molecules and an excellent knowledge of Characterisation as a whole.
Key responsibilities:
Leadership and management of multiple analytical programs to support pre clinical and clinical phase characterisation and comparability studies
Effective planning and performing of analytical work, preparation of study protocols and reports and review of analytical data ensuring scientific objectives and timelines are met
Preparation of GMP documentation e.g. SOPs and raise/complete regulatory records as required
Working as part of a multi-disciplinary scientific technical team for commercial and/or innovation projects as required, collaborating with scientists in other Lonza BU as applicable
Identify and drive departmental improvement projects
Ensuing studies performed meet the required quality standards
Maintaining a high level of scientific expertise and keeping up to date with current technical and regulatory expectations
Actively supports the training and coaching of junior scientists
Prepare and deliver training; both classroom sessions and practical demonstrations
Key requirements:
Degree in Chemistry, Biochemistry or Life Science
Familiarity with methods and instruments used for protein characterisation such as LC-MS (peptide mapping, intact mass analysis and oligosaccharide profiling), icIEF, CE-SDS, HPLC (SEC, RP, HIC, IEX, HILIC) and SEC-MALS
Expert appreciation of runnin g Mass Specs and how to use the data
Experience of Complex proteins – Complex antibodies – Complex Molecules
Understanding of protein structure, post translational modifications, degradation pathways for recombinant proteins
Understanding of phase appropriate regulatory and quality expectations for clinical phase analytical characterisation and comparability studies
Understanding of analytical control strategies applied to biopharmaceutical products
Putting together Packages of Work and Designing of Experiments
Every day, Lonza’s products and services have a positive impact on millions of people. For us, this is not only a great privilege, but also a great responsibility. How we achieve our business results is just as important as the achievements themselves. At Lonza, we respect and protect our people and our environment. Any success we achieve is no success at all if not achieved ethically.
People come to Lonza for the challenge and creativity of solving complex problems and developing new ideas in life sciences. In return, we offer the satisfaction that comes with improving lives all around the world. The satisfaction that comes with making a meaningful difference.
#LI-SH2",,Biotech & Pharmaceuticals,"Slough, Berkshire, South East England, England",Associate Principal Scientist - Characterisation,3.2,$5 to $10 billion (USD),Biotech & Pharmaceuticals,10000+ Employees,Company - Public,1897
161,LGC,"We are looking for an Immunogenicity Regulated Project Manager to join our Large Molecule Bioanalysis team.

Job Purpose:

The focus of the team is the development and validation of immunogenicity assays and subsequent analysis of samples to detect antibodies to therapeutic treatments in biological samples. This work is completed within a regulatory framework to deliver high quality analytical data to our clients.

Key responsibilities:
Experience of performing the role of Study Director/Analytical Project Manager/Principal Investigator for GLP and GCP validation and sample analysis projects
Immunoassay experience, particularly experience of ADA and nAbs assays. Experience of PK/PD is also advantageous
Aware of the latest regulatory guidelines for immunogenicity
You will be skilled at building and maintaining good working relationships with internal and external clients, management and other scientific staff
You will play an active role in supervising and planning the work of more junior members of the department and contributing to their development and learning
Experience of managing project timelines and budgets
Education, experience and technical skills:


Degree in biological science, or relevant experience
Excellent written and verbal communication skills
Computer literate
Experience in a GLP/GCP accredited laboratory
Ability to work independently as well as part of a team
Conscientious and meticulous in laboratory work
Enthusiastic, motivated and driven individual
What we can offer you:

We offer a flexible approach to work, in a friendly and informal environment. As well as a competitive salary, we offer a range of flexible benefits including a group personal pension plan, cycle to work scheme, travel insurance and many more.

INDGB

For more information about LGC, please visit our website www.lgcgroup.com",,Biotech & Pharmaceuticals,"Fordham, Cambridgeshire, East of England, England",Senior Scientist/Regulated Project Manager - Immunogenicity,3,Unknown / Non-Applicable,Biotech & Pharmaceuticals,1001 to 5000 Employees,Company - Private,1842
162,Capco,"Senior Data Scientist - Digital
ABOUT CAPCO
Capco is a global technology and business consultancy, focused on the financial services sector. We are passionate about helping our clients succeed in an ever-changing industry.
We are:
Experts in banking and payments, capital markets and wealth and asset management
Deep knowledge in financial services offering, including e.g. Finance, Risk and Compliance, Financial Crime, Core Banking etc.
Committed to growing our business and hiring the best talent to help us get there
Focused on maintaining our nimble, agile and entrepreneurial culture
Capco is looking for talented, innovative and creative people to join our Machine learning team to work on a number of exciting new technology initiatives like Blockchain, Machine Learning, Artificial Intelligence and Open APIs.
What we're looking for:
Data Scientists experienced in using statistical, algorithmic, mining and/or visualisation techniques to address complex business problems and have demonstrable experience using data science to see beyond the numbers.
The successful candidate will work within a team responsible for developing proof of concepts and will have the opportunity to learn new coding languages and develop their own technical skills.

They will drive relationships with key clients, ensuring delivery of ongoing projects, as well as working to identify new commercial opportunities, taking pride in your ability to clearly articulate complex data strategies to non-technical stakeholders.

In addition to this, they will be expected to leverage their expertise to train and grow junior / graduate data scientists from the ground up.
Responsibilities
Understanding business challenges and creating valuable actionable insights
Performing analysis using statistical and ML methods for predictive analytics, classification, clustering and regression.
Clean, manage, and structure data from disparate sources
Enable data-driven decisions
Help transition from development environment to production
You will be working on various problems including;
Information retrieval and indexing.
Semantic analysis and search in multi-field documents.
Content categorization and classification.
Similarity in multidimensional data.
Relevance and ranking of documents.
Recommendation Engines
Anti-money laundering
Essential skills
Analytics, modelling or software development experience including coding/software development skills. In particular:
Able to articulate complex data science concepts to both technical and non-technical audiences
Experience in implementing Machine Learning algorithms (e.g. regression, classification, topic modelling, time series).
Experience of Python (essential), Scala/Java (desirable)
Experience working with big data technologies (Spark, Hadoop, Hive, Redshift, SQL or similar)
Experience with Data science toolkits for ML and deep learning (scikit-learn, SparkML, Tensorflow, Keras)
Experience in Agile development methods
Experience of working in cloud environments (Azure, GCP, AWS etc)
Experience with data visualisation tools (Tableau, QlikView etc)
Deploying machine learning models and systems to production
You are also expected to have:
Higher level degree (MsC/PhD) in a numerate discipline.
Strong mathematical and statistical analysis skills
Bonus points:
Financial services industry experience
DevOps experience (Git, CI etc)
Cloud fundamental or architect accreditations (GCP Preferred)
Entries into Kaggle Competitions",,Consulting,"London, England",Senior Data Scientist - Digital,4,$500 million to $1 billion (USD),Business Services,5001 to 10000 Employees,Company - Public,1998
163,Cyprotex,"Senior Research Scientist

Cyprotex, part of the Evotec Group, are looking to appoint a Senior Research Scientist to join our in vitro Toxicology Group based at Alderley Park, Cheshire, UK. You would be working closely with other members of the team to ensure that in vitro toxicity studies, both commercial and R&D-based, are performed to a high standard and within scheduled time frames.

The position is full time permanent, reporting directly to the Associate Principal Scientist, Toxicology.

Primary Responsibilities:
Run high- and low-throughput in vitro Toxicology assays for commercial as well as research and development activities.
Define and lead assay development, contributing to R&D and improvement projects and troubleshooting of assays in conjunction with the Team Leader.
Perform data analysis and interpretation, supporting clients or Study Managers with advice when necessary.
Perform work to a high standard, within specified timelines, and within safety regulations.
Additional Responsibilities
Running of routine in vitro Toxicology assays in a variety of cell lines using techniques/instruments such as High Content Imaging (HCI), flow cytometry and Seahorse.
Cell culture in both 2D and 3D formats.
Assist in running and maintaining robotic systems to support high throughput Toxicology processes.
Keeping up to date with relevant scientific advances and regulatory guidelines in the field of in vitro toxicology.
Adhering to our Quality System and contributing to further development of our Quality System via preparation and review of SOP’s. Interacting with our Information Systems Team to drive automation and data processing tools.Training of more junior team members and ensuring productivity of the team. Working closely with the Study Managers to ensure the requirements of our clients are met.
Knowledge, Skills and Experience:

Essential
Minimum of BSc in a life science subject with experience of working within a laboratory environment in industry or via post-doctoral experience.
Cell culture experience is essential, with routine maintenance of adherent cell lines. Experience in experimental performance, data processing and result interpretation, ideally with experience of High Content Screening (HCS), cytotoxicity assays, flow cytometry and/or automated liquid handling robotics.
Desirable
Previous employment within a contract research environment would be desirable.
Highly self-motivated and personable.
Able to communicate effectively within a team environment.
Able to organise daily tasks, to frequently work under pressure and to meet tight deadlines.
Possess excellent attention to detail, performing work to an exceptionally high standard.
Able to use initiative to solve problems and troubleshoot with the assistance of other members of the team.
Should be computer literate with previous experience using Microsoft Office and LIMS.
Rewards & Benefits:

Cyprotex aims to encourage, support and recognise the excellent performance and behaviour of our colleagues. Our performance-based compensation policy applies to all colleagues of the Evotec Group companies. We offer a variety of benefits and these include, amongst others, excellent pension benefits and service related holidays. We recognise that our colleagues have full lives away from the workplace and support working patterns that balance private life and career.

Career Development:

As part of the Evotec Group, we grow through innovation, collaboration, nurturing our people and continuing to develop as a world-class organisation.

Our work is challenging and requires the most competent staff, therefore we aim to recruit and retain the best. We look for talented individuals from all walks of life, educational backgrounds and nationalities to provide the expertise and dedication to enable us to continually achieve success in all that we do. We offer equal opportunities for people with or without, visible or not-visible disabilities.

If you are keen to be a part of our successful and growing global business, please upload your up-to-date CV and covering letter to the website, using the following link:

Submit your application here:

The closing date for applications is Friday 27th November.

Direct applications only please; strictly no agencies",,Biotech & Pharmaceuticals,Cheshire,"Senior Research Scientist, Toxicology",2.6,$25 to $50 million (USD),Biotech & Pharmaceuticals,51 to 200 Employees,Company - Public,1999
164,Orchard Therapeutics,"Orchard Therapeutics, Ltd. (OTL) is looking for an experienced Scientist to develop and optimize lentiviral vector (LVVs) platform(s). This is a great opportunity to join the growing Process Development team within Cell & Gene Therapy Technologies department and contribute to the delivery of Orchard Therapeutics innovative gene-modified cell-based therapeutic products. The job role will include molecular biology, cell line development, process development, process characterization and manufacture of lentiviral vectors. The post-holder will also input into the transfer and implementation of optimized processes to GMP to support OTL’s product pipeline programs.

Key Elements and Responsibilities
Develop stable cell lines for LVVs;
Design, develop and improve process(es) (USP and DSP) for LVVs to deliver robust manufacturing platforms for early and late-stage clinical and commercial development;
Develop and perform cell-based and biochemical assays to characterise LVV processes and products;
Execute experimental plans, analyse and interpret experimental data, maintain experimental results in relevant databases and write technical reports;
Provide hands-on technical expertise/scientific guidance to team members and supervision of junior colleagues;
Contribute to the routine lab maintenance;
Contribute to the transfer of stable cell lines and improved processes to GMP and assist with oversight of manufacturing activities as required;
Prepare, review and complete protocols/SOPs, study reports and assist with regulatory submissions;
Communicate, share and discuss work progress internally and externally;
Other responsibilities may be assigned.
Requirements

Required knowledge
In-depth knowledge on the state-of-the-art of cell & gene therapy products and available technology, more specifically regarding viral vectors;
PhD+3 years (academic/industrial) or additional industrial experience with development, manufacture and delivery of viral vectors, preferably retro and lentiviral vectors;
Demonstrated skills and hands-on experience in tissue culture techniques and handling of adherent and suspension cell lines in different culture systems;
Demonstrated skills and hands-on experience in molecular biology and vectorology, including cloning, standard DNA and RNA technology, analyses with qPCR, recombinant protein expression and assessments with SDS-PAGE, Western blot, ELISA, flow cytometry and others;
Demonstrated knowledge and hands-on experience with stable cell lines development for retro and lentiviral vectors;
Demonstrated knowledge in designing and developing processes for LVV production and purification;
Experience in developing and performing analytical methods for stable cell lines and LVV characterization;
Use of more specialist lab equipment e.g. flow cytometers, cell counters, cell sorters, microscopes and imaging systems, bioreactors, AKTA, TFF systems, controlled-rate freezers etc;
Proficient with MS office, Prism, SnapGene, FlowJo, e-lab books and other commonly used software;
Experience with DoE software (s) and statistical analyses is a plus;
Understanding of and familiarity with regulatory guidance governing stable cell lines and vector-based products is a plus;
Skills & Abilities
Ability to work collaboratively as part of a multi-disciplinary team, or independently as necessary;
to prioritise work and meet deadlines;
Independently design and execute experiments following laboratory procedures, appropriately analyse data and provide an interpretation of results;
and written skills for report writing, team communications and presentations;
Creativeness, motivation, and troubleshooting skills to solve problems and/or develop new technical capabilities;
Ability to operate in a fast paced, multidisciplinary industrial environment
Education
A minimum PhD or equivalent in biotechnology, process development, cell line development, cell and gene therapy, biological sciences, or other relevant scientific discipline.",,Biotech & Pharmaceuticals,"London, England","Scientist, Cell & Gene Therapy Technologies",4.2,Unknown / Non-Applicable,Biotech & Pharmaceuticals,201 to 500 Employees,Company - Public,2015
165,Sarah Harvey Recruitment,"A large international company specialising in the analysis of pharmaceuticals and food substances are looking to recruit a Scientist to work within their Physical Sciences Laboratory.
This is a key role working within a team of 20 laboratory and scientific professionals. The role requires excellent communication and interpersonal skills as stakeholder management, liaising with clients throughout projects and supervising and training junior members of staff are key responsibilities.
Educated to degree level/PhD or an equivalent level of practical experience in a laboratory is required.
The successful candidate will be experienced in performing investigative analyses of products, collating data and writing thorough and clear reports to strict deadlines.
You must be knowledgeable and confident in method development and validations for particle characterisation, in particular thermal and rheological properties of materials. Thermal Analysis, Powder Flow Analysis and Karl Fischer Testing are required technical skills.
Understanding the requirements of working to GMP and UKAS standards is essential and should be demonstrated in previous work experience as this is a basic required competence.
Reference ID: CBSH3040805
Contract length: 13 weeks
Job Types: Full-time, Contract
Salary: £17.36-£22.09 per hour
Schedule:
Monday to Friday
Work remotely:
No",,,"Reading, England",Scientist Physical Science Laboratory,,,,,,
166,Evidera,"Research Associate III (RAIII)/Senior Research Associate (SRA)- Data Collection – Peri- and Post Approval Studies

We are looking to fill this role in our London, UK office; we will consider other locations based on the candidates’ experience and qualifications
The Team

Evidera has been providing epidemiology, data analytics, and outcomes research services to clients in the biopharmaceutical industry for over 19 years. The Peri- and Post Approval Studies team supports pharmaceutical/ biotechnology/ medical device companies in the design and conduct of real-world observational studies throughout the product lifecycle, from early pre-launch planning to launch and post-marketing management. Our focus is on helping our clients identify evidence gaps and rapidly build epidemiologic and economic evidence to demonstrate the effectiveness, safety and value of their products. For this role, the focus is on de novo (field) data collection studies such as single and multi-country retrospective chart reviews, surveys, prospective studies, registries and post-market safety studies which are undertaken when existing health databases cannot be used. Increasingly, hybrid studies that invoke the use of both secondary data sources with bespoke data collection methods are deployed to address our clients’ needs.

Data collected in these studies is then used to address key research questions such as:

Burden of disease and identification of unmet needs
Treatment patterns, drug utilization, adherence
Resource utilization
The identification and impact of risk factors on disease outcomes
Comparative effectiveness
Safety outcomes
We use epidemiologic methods to build knowledge of the relationships between patient, drug, clinical and disease factors that significantly aids our clients and the patients they serve in understanding health conditions and navigating potential drug-event causal relationships as well as in building stronger evidence-based value messages.

Position Overview

The Research Associate III/SRA in Data Collection drafts project deliverables, interacts with clients, and contributes to strategic thinking under the direction of senior staff. Supports scientific coordination and project management, including scoping, tracking progress, and coordinating team tasks for multiple projects.

Principal Duties and Responsibilities (Essential Functions**):

The Research Associate III/SRA in Data Collection will bear scientific responsibility for the design and implementation of de novo data collection studies (retrospective, prospective, and/or cross-sectional) under oversight of more senior staff.

In particular, the Research Associate III/ SRA will:
Provide scientific guidance/consultation on scientific methodological and operational considerations of study design and conduct
Lead on or oversee the development of draft scientific project deliverables (e.g., protocols, analysis plans, case report forms (electronic or paper), survey questions, reports) for senior review.
Interact directly with study sponsors, physician experts, and clinical sites
Assist the responsible scientist with monitoring project budget spend and managing timelines for scientific tasks/deliverables.
Contributes to abstracts and manuscripts as co-author.
Contribute to the growth of Evidera through business development activities, including support of proposal development, participation in the sales cycle, conference attendance, and presentations
Support other organizational activities as needed (e.g. supervise and/or mentor junior staff; closely collaborate with other project stakeholders such as clinical operations, data management, biostatistics, and data analysts; contribute to development of training materials and process improvements)
Travel (national and international travel) is expected
Consulting Expectations:
Participates in client calls and is expected to be able to address questions posed directly to him/her about his/her work, otherwise participates minimally.
Contributes to strategic thinking under the direction of senior staff.
Managerial Duties: None

Education, Professional Skills & Experience

PhD (epidemiology/pharmacoepidemiology or closely related field) or MSc with relevant experience
Experience with de novo data collection (field) studies (non-interventional designs in particular)
Good understanding of epidemiologic study designs
Previous experience in consultancy and/or CRO environment highly desirable
Working knowledge of MS Office software; working knowledge of data analysis software (e.g., SAS, Stata, R) a plus
Demonstrated ability to communicate and document information effectively in written English, including the ability to produce scientific reports, presentations, emails and other written deliverables that are well-organized, free from errors, and are appropriately adjusted to the characteristics and needs of the audience.
Strong organizational, time-management, prioritization and decision-making skills necessary to evaluate, plan and accomplish multiple work goals in a timely fashion.
Able to quickly learn and apply new information, skills and procedures.
Proactive and positive approach to tasks and projects, as well as resilience when encountering process, project, budget or client changes that are inherent in the consulting environment.
Strong communication and interpersonal skills including the ability to quickly develop and sustain positive rapport with internal and external contacts in person, over the phone and by email.
Experience presenting ideas to individuals and groups in a formal presentation setting
Delivers a positive internal/external client experience; listens and understand the client's needs, and recommends solutions
Demonstrates sound professional judgment in analysing, responding to, and resolving enquiries, issues and escalations.
Experience with design of peri- or post-approval late phase interventional studies is not required but would be considered a plus
About Evidera:
Evidera is a business within in Pharmaceutical Product Development, LLC (PPD) a leading global contract research organization (CRO), and a is a preeminent provider of evidence-based solutions. We provide integrated scientific expertise and global operational capabilities to help clients generate the evidence needed to optimize the market access and commercial potential of products.

Perks:
We offer a competitive salary and benefits package, with clear opportunities for growth and career progression. You will have the opportunity to work on multiple projects with some of the industry’s leading researchers. Our offices boast a fun and collaborative working environment, frequent social events and a robust support system. We are committed to providing training and professional development, with ample opportunity to advance, for all our staff.

Evidera’s Core Competencies:
Customer Focus
Initiative
Teamwork
Problem Solving/Judgment
Accountability
If you resonate with our core competencies and want to contribute to research and consulting services driven by world-class science and thought leadership, then please submit your application – we’d love to hear from you.

Evidera, Inc. provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, sex, national origin, age, genetics, sexual orientation, gender preference, disability, or status as a qualified individual with a disability or protected veteran.",,Biotech & Pharmaceuticals,"London, England",Research Associate III/Senior Research Associate – Data Collection – Peri- and Post Approval Studies,3.8,$100 to $500 million (USD),Biotech & Pharmaceuticals,501 to 1000 Employees,Subsidiary or Business Segment,2013
