,company,index,company_size,company_year_founded,company_type,company_industry,company_revenue,company_review,company_interview_difficulty,company_benefits,company_location
51,Zillow,51,5001 to 10000 Employees,2005,Company - Public,Real Estate,$1 to $2 billion (USD),4.1, 2.9,4.7,"Seattle, WA"
52,Stitch Fix,52,5001 to 10000 Employees,2011,Company - Public,Other Retail Stores,$500 million to $1 billion (USD),3.5, 2.7,3.3,"San Francisco, CA"
53,Spotify,53,1001 to 5000 Employees,2006,Company - Public,Internet,Unknown / Non-Applicable,3.9, 2.9,4.5,"Stockholm, Sweden"
54,Autodesk,54,5001 to 10000 Employees,1982,Company - Public,Computer Hardware & Software,$2 to $5 billion (USD),4.1, 2.9,4.4,"San Rafael, CA"
55,Workday,55,10000+ Employees,2005,Company - Public,Enterprise Software & Network Solutions,$2 to $5 billion (USD),4.1, 2.8,4.1,"Pleasanton, CA"
56,Cognizant Technology Solutions,56,10000+ Employees,1994,Company - Public,,$10+ billion (USD),3.7, 2.7,3.5,"Teaneck, NJ"
57,Civis Analytics,57,51 to 200 Employees,2013,Company - Private,Enterprise Software & Network Solutions,$25 to $50 million (USD),3.1, 3.2,3.6,"Chicago, IL"
58,American Express,58,10000+ Employees,1850,Company - Public,Financial Transaction Processing,$10+ billion (USD),4.2, 3.0,4.1,"New York, NY"
59,Caterpillar,59,10000+ Employees,1925,Company - Public,Industrial Manufacturing,$10+ billion (USD),3.8, 3.0,4.0,"Deerfield, IL"
60,Express Scripts,60,10000+ Employees,1986,Company - Public,Health Care Services & Hospitals,Unknown / Non-Applicable,3.3, 2.7,3.4,"Saint Louis, MO"
61,Salesforce,61,10000+ Employees,1999,Company - Public,Computer Hardware & Software,$10+ billion (USD),4.4, 3.3,4.6,"San Francisco, CA"
62,Tout (CA),62,,,,,,0.0,,,
63,Groupon,63,5001 to 10000 Employees,2008,Company - Public,Internet,$1 to $2 billion (USD),3.4, 2.8,3.8,"Chicago, IL"
64,Allstate,64,10000+ Employees,1931,Company - Public,Insurance Agencies & Brokerages,$10+ billion (USD),3.5, 2.7,3.4,"Northbrook, IL"
65,AgilOne,65,51 to 200 Employees,2007,Company - Private,Enterprise Software & Network Solutions,$10 to $25 million (USD),3.7, 2.9,3.1,"Sunnyvale, CA"
66,Northrop Grumman,66,10000+ Employees,1939,Company - Public,Aerospace & Defense,$10+ billion (USD),3.8, 2.6,3.9,"Falls Church, VA"
67,Rang Technologies,67,51 to 200 Employees,2005,Company - Private,IT Services,$10 to $25 million (USD),4.5, 2.1,1.0,"Piscataway, NJ"
68,Deloitte,68,10000+ Employees,1850,Company - Private,Accounting,$10+ billion (USD),3.8, 3.0,4.2,"New York, NY"
69,Insurance Services Office,69,5001 to 10000 Employees,1971,Subsidiary or Business Segment,Insurance Carriers,$500 million to $1 billion (USD),3.4, 2.8,3.5,"Jersey City, NJ"
70,Accenture,70,10000+ Employees,1989,Company - Public,Consulting,$10+ billion (USD),3.9, 2.8,4.1,"Dublin, Ireland"
71,Verisk Analytics,71,5001 to 10000 Employees,1971,Company - Public,Research & Development,$2 to $5 billion (USD),3.9, 2.8,3.9,"Jersey City, NJ"
72,Bayer,72,5001 to 10000 Employees,1863,Company - Private,Biotech & Pharmaceuticals,$10+ billion (USD),4.1, 3.0,4.0,"São Paulo, Brazil"
73,Bank of America,73,10000+ Employees,1904,Company - Public,Banks & Credit Unions,$10+ billion (USD),3.9, 2.7,4.1,"Charlotte, NC"
74,84.51°,74,1001 to 5000 Employees,2015,Subsidiary or Business Segment,Consulting,Unknown / Non-Applicable,4.3, 3.3,4.7,"Cincinnati, OH"
75,Verizon Media,75,10000+ Employees,null,Subsidiary or Business Segment,,Less than $1 million (USD),3.6, 2.9,4.2,"New York, NY"
76,GE,76,10000+ Employees,1892,Company - Public,Industrial Manufacturing,$10+ billion (USD),3.9, 2.9,3.7,"Boston, MA"
77,NetApp,77,10000+ Employees,1992,Company - Public,Enterprise Software & Network Solutions,$5 to $10 billion (USD),3.7, 3.0,3.9,"Sunnyvale, CA"
78,State Farm,78,10000+ Employees,1922,Company - Private,Insurance Carriers,$10+ billion (USD),3.5, 2.6,3.4,"Bloomington, IL"
79,General Motors (GM),79,10000+ Employees,1908,Company - Public,Transportation Equipment Manufacturing,$10+ billion (USD),3.7, 2.8,4.2,"Detroit, MI"
80,Optum,80,501 to 1000 Employees,null,Company - Public,Health Care Services & Hospitals,Unknown / Non-Applicable,3.5, 2.7,3.5,"Eden Prairie, MN"
81,Nordstrom,81,10000+ Employees,1901,Company - Public,"Department, Clothing, & Shoe Stores",$10+ billion (USD),3.6, 2.5,3.7,"Seattle, WA"
82,Honeywell,82,10000+ Employees,1885,Company - Public,Computer Hardware & Software,$10+ billion (USD),3.7, 2.9,2.7,"Charlotte, NC"
83,The Home Depot,83,10000+ Employees,1978,Company - Public,,$10+ billion (USD),3.7, 2.2,3.6,"Atlanta, GA"
84,Micron Technology,84,10000+ Employees,1978,Company - Public,Computer Hardware & Software,$10+ billion (USD),3.6, 2.9,4.0,"Boise, ID"
85,Feedzai,85,201 to 500 Employees,2009,Company - Private,Computer Hardware & Software,$50 to $100 million (USD),3.7, 3.1,3.6,"San Mateo, CA"
86,Lockheed Martin,86,10000+ Employees,1995,Company - Public,Aerospace & Defense,$10+ billion (USD),3.9, 2.6,3.7,"Bethesda, MD"
87,Tesla,87,10000+ Employees,2003,Company - Public,Transportation Equipment Manufacturing,$2 to $5 billion (USD),3.6, 2.9,3.9,"Palo Alto, CA"
88,Asana,88,501 to 1000 Employees,2009,Company - Public,Enterprise Software & Network Solutions,Unknown / Non-Applicable,4.9, 3.1,4.9,"San Francisco, CA"
89,Guidewire,89,1001 to 5000 Employees,2001,Company - Public,Computer Hardware & Software,$500 million to $1 billion (USD),4.3, 3.1,4.2,"San Mateo, CA"
90,Indeed,90,10000+ Employees,2004,Company - Private,Internet,$2 to $5 billion (USD),4.1, 2.9,4.4,"Austin, TX"
91,Schlumberger,91,10000+ Employees,1926,Company - Public,Oil & Gas Services,$10+ billion (USD),3.7, 2.9,3.9,"Houston, TX"
92,Gallup,92,1001 to 5000 Employees,1935,Company - Private,Consulting,Unknown / Non-Applicable,4.1, 3.1,3.0,"Washington, DC"
93,Equifax,93,10000+ Employees,1899,Company - Public,Financial Analytics & Research,$2 to $5 billion (USD),3.1, 2.7,3.2,"Atlanta, GA"
94,Humana,94,10000+ Employees,1961,Company - Public,Insurance Carriers,$10+ billion (USD),3.8, 2.8,3.8,"Louisville, KY"
95,Fidelity Investments,95,10000+ Employees,1946,Company - Private,Investment Banking & Asset Management,$10+ billion (USD),4.1, 2.8,4.5,"Boston, MA"
96,Intuit,96,5001 to 10000 Employees,1983,Company - Public,Computer Hardware & Software,$5 to $10 billion (USD),4.3, 3.0,4.5,"Mountain View, CA"
97,AIG,97,10000+ Employees,1919,Company - Public,Insurance Carriers,$10+ billion (USD),3.5, 2.7,4.0,"New York, NY"
98,Applied Materials,98,10000+ Employees,1967,Company - Public,Electrical & Electronic Manufacturing,$10+ billion (USD),3.9, 2.9,3.8,"Santa Clara, CA"
99,Pacific Northwest National Laboratory,99,1001 to 5000 Employees,1965,Government,Energy,$500 million to $1 billion (USD),4.0, 2.7,3.9,"Richland, WA"
100,Cognistx,100,1 to 50 Employees,2015,Company - Private,IT Services,Unknown / Non-Applicable,4.9, 2.9,5.0,"Pittsburgh, PA"
101,Cerner,101,10000+ Employees,1979,Company - Public,Computer Hardware & Software,$5 to $10 billion (USD),4.0, 2.7,3.8,"Kansas City, MO"
102,John Deere,102,10000+ Employees,1837,Company - Public,Industrial Manufacturing,$10+ billion (USD),4.1, 3.0,4.1,"Moline, IL"
103,Citi,103,10000+ Employees,1812,Company - Public,Investment Banking & Asset Management,$10+ billion (USD),3.8, 2.9,3.9,"New York, NY"
104,Quicken Loans,104,10000+ Employees,1985,Company - Private,Lending,$10+ billion (USD),3.8, 2.6,4.4,"Detroit, MI"
105,Tripadvisor,105,1001 to 5000 Employees,2000,Company - Public,Internet,$1 to $2 billion (USD),3.5, 2.9,4.5,"Needham, MA"
106,Square,106,1001 to 5000 Employees,2009,Company - Public,Computer Hardware & Software,$1 to $2 billion (USD),4.0, 3.0,4.4,"San Francisco, CA"
107,Hewlett Packard Enterprise | HPE,107,10000+ Employees,2015,Company - Public,Enterprise Software & Network Solutions,Unknown / Non-Applicable,3.9, 2.8,3.5,"Palo Alto, CA"
108,MITRE,108,5001 to 10000 Employees,1958,Nonprofit Organization,Federal Agencies,$1 to $2 billion (USD),3.5, 2.8,4.2,"Bedford, MA"
109,Dell Technologies,109,10000+ Employees,1984,Company - Public,IT Services,$10+ billion (USD),4.1, 2.9,3.9,"Round Rock, TX"
110,T-Mobile,110,10000+ Employees,2001,Company - Public,Telecommunications Services,$10+ billion (USD),4.0,,4.3,"Bellevue, WA"
111,Comscore,111,1001 to 5000 Employees,1999,Company - Public,Advertising & Marketing,$1 to $2 billion (USD),2.9, 2.8,3.6,"Reston, VA"
112,ADP,112,10000+ Employees,1949,Company - Public,Consulting,$10+ billion (USD),3.8, 2.9,4.1,"Roseland, NJ"
113,Xilinx,113,5001 to 10000 Employees,1984,Company - Public,Computer Hardware & Software,$2 to $5 billion (USD),3.9, 3.0,4.1,"San Jose, CA"
114,DISH,114,10000+ Employees,1980,Company - Public,"Cable, Internet & Telephone Providers",$10+ billion (USD),3.0, 2.6,2.6,"Englewood, CO"
115,NASA Jet Propulsion Laboratory,115,5001 to 10000 Employees,1936,Nonprofit Organization,Federal Agencies,Unknown / Non-Applicable,4.5, 2.6,4.2,"Pasadena, CA"
116,Tata Consultancy Services,116,10000+ Employees,1968,Company - Public,Computer Hardware & Software,$10+ billion (USD),3.9, 2.7,3.2,"Mumbai, India"
117,Conversant,117,1001 to 5000 Employees,null,Company - Public,Advertising & Marketing,$500 million to $1 billion (USD),3.5, 2.8,3.6,"Chicago, IL"
118,GlobalSync,118,,,,,,0.0,,,
119,Lumiata,119,1 to 50 Employees,2013,Company - Private,Enterprise Software & Network Solutions,Unknown / Non-Applicable,3.5, 2.4,4.4,"San Mateo, CA"
120,Leidos,120,10000+ Employees,1969,Company - Public,Aerospace & Defense,$10+ billion (USD),3.7, 2.4,3.2,"Reston, VA"
121,Esurance,121,1001 to 5000 Employees,1999,Subsidiary or Business Segment,Insurance Carriers,$1 to $2 billion (USD),3.8, 2.7,3.2,"San Francisco, CA"
122,Monsanto Company,122,,,,,,,,,
123,Cox Automotive,123,10000+ Employees,2014,Company - Private,IT Services,Unknown / Non-Applicable,3.6, 2.8,4.3,"Atlanta, GA"
124,Zurich North America,124,10000+ Employees,1912,Company - Public,Insurance Carriers,$500 million to $1 billion (USD),3.2, 2.8,3.9,"Schaumburg, IL"
125,Sears,125,10000+ Employees,1886,Company - Private,,$10+ billion (USD),3.0, 2.3,2.3,"Hoffman Estates, IL"
126,AT&T,126,10000+ Employees,1983,Company - Public,Telecommunications Services,$10+ billion (USD),3.5, 2.7,4.0,"Dallas, TX"
127,Bed Bath & Beyond,127,10000+ Employees,1971,Company - Public,Home Furniture & Housewares Stores,$10+ billion (USD),3.1, 2.1,3.0,"Union, NJ"
128,US Department of Defense,128,10000+ Employees,1947,Government,Aerospace & Defense,$10+ billion (USD),4.1, 2.6,4.2,"Washington, DC"
129,Experian,129,10000+ Employees,1980,Company - Public,Financial Analytics & Research,$2 to $5 billion (USD),4.1, 2.8,4.1,"Dublin, Ireland"
130,Opex Analytics,130,51 to 200 Employees,2013,Company - Private,IT Services,Unknown / Non-Applicable,5.0, 3.3,4.0,"Chicago, IL"
131,CCRi,131,51 to 200 Employees,1989,Company - Private,Aerospace & Defense,$10 to $25 million (USD),4.5, 2.9,4.2,"Charlottesville, VA"
132,Scry Analytics,132,51 to 200 Employees,2014,Company - Private,Computer Hardware & Software,Less than $1 million (USD),3.8, 2.2,1.0,"Saratoga, CA"
133,Red Hat,133,10000+ Employees,1993,Company - Public,Computer Hardware & Software,$2 to $5 billion (USD),4.2, 3.0,4.2,"Raleigh, NC"
134,Bloomberg L.P.,134,10000+ Employees,1981,Company - Private,Computer Hardware & Software,Unknown / Non-Applicable,4.0, 3.0,4.5,"New York, NY"
135,SAP Concur,135,1001 to 5000 Employees,1993,Company - Public,Computer Hardware & Software,$1 to $2 billion (USD),4.4, 2.8,4.1,"Bellevue, WA"
136,Kabbage,136,501 to 1000 Employees,2009,Company - Private,Lending,$100 to $500 million (USD),3.8, 3.0,4.6,"Atlanta, GA"
137,Engineering Technology Associates,137,201 to 500 Employees,null,Company - Private,Accounting,$25 to $50 million (USD),3.9, 2.0,3.0,"Troy, MI"
138,Noblis,138,1001 to 5000 Employees,1996,Nonprofit Organization,Consulting,$100 to $500 million (USD),4.1, 2.6,4.3,"Reston, VA"
139,Kohl's,139,10000+ Employees,1962,Company - Public,"Department, Clothing, & Shoe Stores",$10+ billion (USD),3.5, 2.1,3.2,"Menomonee Falls, WI"
140,Wells Fargo,140,10000+ Employees,1852,Company - Public,Banks & Credit Unions,$10+ billion (USD),3.7, 2.8,4.0,"San Francisco, CA"
141,Antuit,141,201 to 500 Employees,2013,Company - Private,Enterprise Software & Network Solutions,Unknown / Non-Applicable,4.1, 2.9,4.3,"Chicago, IL"
142,Chegg,142,1001 to 5000 Employees,2005,Company - Public,Consumer Product Rental,$100 to $500 million (USD),4.2, 2.7,4.2,"Santa Clara, CA"
143,U.S. Bank,143,10000+ Employees,1863,Company - Public,Banks & Credit Unions,$10+ billion (USD),3.6, 2.6,3.4,"Minneapolis, MN"
144,American Family Insurance,144,5001 to 10000 Employees,1927,Company - Private,Insurance Carriers,$5 to $10 billion (USD),3.7, 2.8,3.7,"Madison, WI"
145,National Geospatial-Intelligence Agency,145,10000+ Employees,1996,Government,Aerospace & Defense,Unknown / Non-Applicable,4.1, 2.6,4.1,"Springfield, VA"
146,Morgan Stanley,146,10000+ Employees,1935,Company - Public,Investment Banking & Asset Management,$10+ billion (USD),4.0, 3.1,3.9,"New York, NY"
147,Staples,147,10000+ Employees,1986,Company - Private,Office Supply Stores,$10+ billion (USD),, 2.2,3.1,"Framingham, MA"
148,SparkCognition,148,51 to 200 Employees,2013,Company - Private,Enterprise Software & Network Solutions,Unknown / Non-Applicable,4.2, 3.0,3.5,"Austin, TX"
149,Alliance Data,149,10000+ Employees,1996,Company - Public,Advertising & Marketing,$5 to $10 billion (USD),3.2, 2.5,4.2,"Columbus, OH"
150,Opendoor,150,501 to 1000 Employees,2014,Company - Private,Real Estate,$2 to $5 billion (USD),, 2.9,4.2,"San Francisco, CA"
151,Zest AI,151,51 to 200 Employees,2009,Company - Private,Financial Analytics & Research,$50 to $100 million (USD),, 3.0,4.7,"Burbank, CA"
152,Infosys,152,10000+ Employees,1981,Company - Public,IT Services,$10+ billion (USD),3.3, 2.6,3.0,"Bangalore, India"
153,Thomson Reuters,153,10000+ Employees,2008,Company - Public,Enterprise Software & Network Solutions,$5 to $10 billion (USD),4.1, 2.8,3.8,"Toronto, Canada"
154,Ancestry,154,1001 to 5000 Employees,1985,Company - Private,Internet,$1 to $2 billion (USD),, 2.7,4.1,"Lehi, UT"
155,Lawrence Livermore National Laboratory,155,1001 to 5000 Employees,1952,Government,Federal Agencies,$1 to $2 billion (USD),, 2.9,4.3,"Livermore, CA"
156,Walmart eCommerce,156,1001 to 5000 Employees,2000,Subsidiary or Business Segment,Internet,$10+ billion (USD),, 2.8,3.6,"San Bruno, CA"
157,NCR,157,10000+ Employees,1884,Company - Public,Computer Hardware & Software,$5 to $10 billion (USD),, 2.7,3.1,"Atlanta, GA"
158,Capgemini,158,10000+ Employees,1967,Company - Public,Enterprise Software & Network Solutions,$10+ billion (USD),, 2.8,3.6,"Paris, France"
159,Lowe's,159,10000+ Employees,1921,Company - Public,Home Centers & Hardware Stores,$10+ billion (USD),, 2.5,3.7,"Mooresville, NC"
160,Philips,160,10000+ Employees,1891,Company - Public,Health Care Services & Hospitals,$10 to $25 million (USD),, 2.9,3.9,"Amsterdam, Netherlands"
161,Teradata,161,10000+ Employees,1979,Company - Public,Computer Hardware & Software,$2 to $5 billion (USD),, 2.9,3.7,"San Diego, CA"
162,Johnson & Johnson,162,10000+ Employees,1887,Company - Public,Biotech & Pharmaceuticals,$10+ billion (USD),4.1, 2.9,4.4,"New Brunswick, NJ"
163,Grubhub,163,1001 to 5000 Employees,2004,Company - Public,Internet,$100 to $500 million (USD),4.0, 2.6,3.6,"Chicago, IL"
164,AppZen,164,201 to 500 Employees,2012,Company - Private,Financial Transaction Processing,$5 to $10 million (USD),, 2.6,4.1,"San Jose, CA"
165,Macy's,165,10000+ Employees,1858,Company - Public,"Department, Clothing, & Shoe Stores",$10+ billion (USD),, 2.2,2.9,"New York, NY"
166,Verizon Wireless,166,10000+ Employees,2000,Company - Public,Telecommunications Services,$10+ billion (USD),3.9, 2.9,4.4,"New York, NY"
167,Chevron,167,10000+ Employees,1879,Company - Public,Oil & Gas Exploration & Production,$10+ billion (USD),4.1, 2.8,4.2,"San Ramon, CA"
168,Clover Health,168,501 to 1000 Employees,2013,Company - Private,Health Care Services & Hospitals,Unknown / Non-Applicable,, 2.6,3.9,"San Francisco, CA"
169,TrueCar,169,501 to 1000 Employees,2005,Company - Public,Internet,$100 to $500 million (USD),2.8, 2.9,4.4,"Santa Monica, CA"
170,Akamai,170,5001 to 10000 Employees,1998,Company - Public,IT Services,$2 to $5 billion (USD),4.2, 3.1,4.4,"Cambridge, MA"
171,SAS Institute,171,10000+ Employees,1976,Company - Private,Computer Hardware & Software,$2 to $5 billion (USD),3.9, 2.9,4.5,"Cary, NC"
172,Fuzzy Logix,172,1 to 50 Employees,2007,Company - Private,Computer Hardware & Software,$5 to $10 million (USD),3.6, 2.8,2.0,"Charlotte, NC"
173,SAIC,173,10000+ Employees,2013,Company - Public,Enterprise Software & Network Solutions,$5 to $10 million (USD),3.9, 2.5,3.3,"Reston, VA"
174,State Street,174,10000+ Employees,1792,Company - Public,Investment Banking & Asset Management,$10+ billion (USD),, 2.6,3.6,"Boston, MA"
175,TE Connectivity,175,10000+ Employees,2007,Company - Public,Electrical & Electronic Manufacturing,$10+ billion (USD),, 2.8,3.7,"Schaffhausen, Switzerland"
176,Pearson,176,10000+ Employees,1844,Company - Public,Education Training Services,$5 to $10 billion (USD),3.4, 2.8,3.9,"London, United Kingdom"
177,GEICO,177,10000+ Employees,1936,Subsidiary or Business Segment,Insurance Carriers,$10+ billion (USD),, 3.2,4.0,"Washington, DC"
178,CCC Information Services,178,1001 to 5000 Employees,1980,Company - Private,Enterprise Software & Network Solutions,$500 million to $1 billion (USD),, 2.7,3.9,"Chicago, IL"
179,Highmark,179,10000+ Employees,null,Company - Private,Insurance Carriers,$10+ billion (USD),, 2.6,3.6,"Pittsburgh, PA"
180,Loven Systems,180,,,,,,,,,
181,Indigo,181,1001 to 5000 Employees,2013,Company - Private,Farm Support Services,Less than $1 million (USD),, 3.1,4.1,"Boston, MA"
182,Elder Research,182,51 to 200 Employees,1995,Company - Private,Consulting,$5 to $10 million (USD),3.8, 3.0,,"Charlottesville, VA"
183,Bidgely,183,51 to 200 Employees,2010,Company - Private,Computer Hardware & Software,Unknown / Non-Applicable,, 2.9,3.7,"Mountain View, CA"
184,CGI,184,10000+ Employees,1976,Company - Public,Consulting,$10+ billion (USD),3.6, 2.7,3.4,"Montreal, Canada"
185,Maxima Consulting,185,51 to 200 Employees,null,Company - Private,Computer Hardware & Software,$5 to $10 million (USD),3.9,,0.0,"Wakefield, MA"
186,IMVU,186,51 to 200 Employees,2004,Company - Private,Internet,$50 to $100 million (USD),3.1, 2.6,4.2,"Redwood City, CA"
187,Thermo Fisher Scientific,187,10000+ Employees,1902,Company - Public,Biotech & Pharmaceuticals,$10+ billion (USD),3.6, 2.8,3.7,"Waltham, MA"
188,Asurion,188,10000+ Employees,1994,Company - Private,IT Services,Unknown / Non-Applicable,, 2.6,3.9,"Nashville, TN"
189,First Derivatives,189,1001 to 5000 Employees,1996,Company - Public,IT Services,$500 million to $1 billion (USD),, 2.5,3.5,"Newry, United Kingdom"
190,The Hartford,190,10000+ Employees,1810,Company - Public,Insurance Carriers,$10+ billion (USD),, 2.8,3.8,"Hartford, CT"
191,ExxonMobil,191,10000+ Employees,1870,Company - Public,Energy,$10+ billion (USD),, 2.9,4.3,"Irving, TX"
192,NBCUniversal,192,10000+ Employees,1906,Company - Public,TV Broadcast & Cable Networks,$10+ billion (USD),4.0, 2.8,4.0,"New York, NY"
