,Company,Description,Glassdoor Salary Estimate,Industry,Location,Position,Rating,Revenue,Sector,Size,Year Founded

Thrive on finding creative solutions and adapting to constantly changing circumstances











Knowledgeable about best practices around data manipulation, building data pipelines, feature engineering and creating dashboards











Experience influencing strategy through data-centric presentations











Capable of tackling very loosely defined problems with minimal guidance











Experience working with real time and clickstream data











You should apply if you have the following:











7+ years experience working with data and utilizing quantitative techniques











Bachelors degree from a top school (preferably in a quantitative field)











Expertise with at least two of the standard analysis tools: Excel, SQL, R, Python, Hadoop, Stata, SAS, etc.











Working knowledge of Unix command-line/shell, git and review board











Expertise running advanced analytics in a scripting language











Experience leveraging government data or publicly available APIs











3+ years direct management experience of analysts and data scientists











Proven track record of writing elegant code and coaching others to improve technical outputs











What you can expect from us:



































Our mission is to Make Life More Fun with a vision to push the boundaries of innovation, creativity, and fun. From top leadership to new and veteran team members alike, everyone at Spin Master embodies our Core Values:











• Integrity











• Open Mindset











• Innovation











• Partnerships











• Collaboration











• Driving Results











• Entrepreneurship























Follow us on Instagram and Twitter @SpinCareers to stay up to date on Spin Master career opportunities.























We do appreciate all interest; however only those selected for interview will be contacted.",-1,Consumer Products Manufacturing,Toronto,"Senior Manager, Data Science",2.7,$2 to $5 billion (USD),Manufacturing,1001 to 5000 Employees,1994

4,Thinkific,"We'd love to put your mind at ease while looking for a new opportunity during a pandemic.











Read about how we're supporting #TeamThinkific during COVID-19 and how we've transitioned to working remotely.



































Are you an advocate for data-driven decision making? Can you take numbers and raw data and turn them into meaningful and actionable insights? Do you get excited about working with stakeholders across the business and being able to influence product roadmaps? For you, it's not about the numbers you see, but in wielding them to help make meaningful business decisions. You're looking for a big challenge that holds the opportunity to make an impactand you'll find that at Thinkific!























As a Data Analyst, Product, you will be an integral support to the Product organization as they work to execute the Product vision. You'll be a key part of the Data team, with a dedicated focus on Customer Analyticsthink analyzing user flows, funnels, feature usage, and customer feedback. You will aim to identify patterns in user behaviour and derive insights and themes that will influence the Product roadmap, connecting to stakeholders on the Product Management, Design, and Marketing teams in the process.























In this role, you will:











Analyze customer data, generate insights, and find opportunities related to the early and ongoing success of our Course Creators











Ensure that product usage data is structured, organized, and accessible to stakeholders and build out reporting capabilities for accurately tracking key metrics











Research and analyze user flows, funnels, activation, retention, and qualitative feedback to derive insights and themes and present opportunities to the Product team











Assess the sensitivity and opportunity of building out new features and enhancing existing ones











Champion the use of data for decision making through knowledge sharing, data literacy education, and training programs











Perform a variety of ad-hoc analyses and proactively identify areas of opportunity for different business units











Contribute to and support the data strategy across the business











To be successful in this role, you must:











Have 4+ years of working experience in a data analysis or similar role in a SaaS/tech environment











Understand and have an interest in mapping data to the customer journey and influencing business decisions











Be organized and detail-oriented, with the ability to think critically and analytically











Demonstrate a solid understanding of statistical and data modelling concepts











Have experience accessing, transforming, and analyzing data from a variety of sources











Possess proficiency in SQL and Excel











Display strong communication skills and the ability to convey the results of an analysis using dashboards and both written and verbal reports











Be able to work independently in a fast-changing environment











Have a solid understanding of experimentation and A/B testing principles











You might be the person we're looking for if you:











Are eager to learn and growyou've likely attended post-secondary education, continue to seek opportunities to level up your skills or have equivalent professional experience in a similar role











Are knowledgeable in key SaaS metrics











Hold a passion for learning and professional growth











Understand and have an interest in product management and marketing











Have previous experience with Amplitude, Mixpanel, or a similar tool











Are comfortable working with at least one BI tool such as Mode, Tableau, or Looker











Bonus points if you:











Have familiarity with data techniques in Python and/or R











Are comfortable with ETL tools and techniques











About us:























We're about the results of online learning and the people along the way! Thinkific is a software platform that enables entrepreneurs to create, market, sell, and deliver their own online courses.























Our mission is no less than to revolutionize the way people learn and earn online by giving them the tools they need to turn their expertise into a sustainable business that impacts both them and their audience. We believe in meaningful, innovative work: we're building and expanding an incredible product that empowers course creators around the globe while working collaboratively to learn and succeed together. Together, we've served over 40,000 course creators and more than 10 million students, and these numbers are growing each day!























Why we think you'll like working with us:











Read What to Expect when Applying at Thinkific to learn about our hiring process (and how we put candidates first!)











Be part of a team of incredibly talented, passionate, and driven people focused on building and innovating on a best-in-class learning platform











Make an impact with your workeach person has an equal opportunity to contribute to our goals and every day, we get to see how Thinkific is empowering both course creators and their students











Join one of the fastest-growing companies in Vancouver and find opportunities to grow in your own careeroffering advancement opportunities for our team members is important to us!











Contribute to Thinkific's award-winning culturewe're one of Canada's Most Admired Corporate Cultures and a certified Great Place to Work!











We offer competitive salaries, a comprehensive benefits package including health, dental, and vision coverage, and an Employee and Family Assistance Program to support the wellbeing of you and your family











Get additional health and wellness support through a lifestyle or health spending account to put your dollars where you need it most











Enjoy our open vacation policy and flexible work environment, because we know the importance of having a great work-life balance (and sometimes, you do your best work in slippers)











Learn and Grow is one of our values and we take it seriously, providing opportunities through lunch and learns, training, workshops, mentorship, and our $1500 education allowance











Our team spends time together outside of work, toowe have board game nights, have gone rock climbing, hosted family BBQs, a weekly cookie club (that's right!), and each year, we host an annual retreat on Gambier Island











Grow your career AND your family at Thinkificyou'll be taken care of with our parental leave top-ups as you add to your family











Our office is close to major transit routes, bike-friendly, and centrally located at the intersection of some of Vancouver's coolest neighborhoods











Stay fuelled with healthy snacks, free coffee and tea, kombucha, and the occasional Friday beer and cider











Hang out with the @dogsofthinkific (and yes, they're as cute and cuddly as they look)











Work with the hardware you're most comfortable with, and upgrade or replace your system when you need to with our technology bonus











Stay fit with subsidized gym access or by joining one of Thinkific's sports teams











Be confident bringing your whole self to workwe're proud to be an inclusive company with a diverse team and values grounded in ethics and equality











Thinkific welcomes all applicants regardless of race, gender, orientation, sexual identity, economic class, ability, disability, age, religious beliefs or disbeliefs, or status. We believe that different perspectives and backgrounds are what make a company flourish and we welcome you!











This is an incredible role for the right candidate. We can't wait to meet you!",-1,Internet,Vancouver,"Data Analyst, Product",4.7,Unknown / Non-Applicable,Information Technology,51 to 200 Employees,2012

5,"Thales Digital Solutions Inc., Research & Technology","Location: Quebec City, Canada











Dans des marchés en rapide évolution, les clients à travers le monde font confiance à Thales. Thales est une entreprise où les personnes les plus brillantes du monde entier se regroupent pour mettre en commun leurs idées et ainsi s'inspirer mutuellement. Dans tous les secteurs où œuvre Thales, notamment l’aérospatiale, le transport, la défense, la sécurité et l'espace, nos équipes d’architectes conçoivent des solutions innovantes qui rendent demain possible dès aujourd’hui.











TRT-Canada est reconnu pour être un véritable pôle d’innovation technologique qui façonne l’offre de Thales aussi bien au Canada que sur les marchés de l'exportation. Le rôle de Thales Recherche et Technologie (TRT) est d'étendre l'influence de Thales au sein des communautés scientifiques et techniques, proposant une plate-forme pour l'innovation et le partage des connaissances tout en attirant de talentueux diplômés en sciences qui viendront parfaire son expertise.











In fast changing markets, customers worldwide rely on Thales. Thales is a business where brilliant people from all over the world come together to share ideas and inspire each other. In aerospace, transportation, defence, security and space, our architects design innovative solutions that make our tomorrow's possible.











TRT-Canada is recognized as a multi-technology innovation house that shapes Thales offering in Canada and on export markets. The role of Thales Research and Technology (TRT) is to extend the influence of Thales within the scientific and technical communities, offering a platform for innovation and knowledge sharing, and attracting talented science graduates to build on our acquired expertise.











RAISON D’ÊTRE:











Les chercheurs sont principalement impliqués dans la planification, la conduite et l'analyse d'expériences, pour une utilisation finale définie (développer de nouveaux produits, procédés ou applications commerciales) ou pour élargir la connaissance scientifique en général. Bien que la recherche soit souvent effectuée sur une base individuelle, le chargé de recherche et technologie travaille généralement au sein d'une équipe plus large et une partie de son travail consiste à organiser des rencontres périodiques de suivis afin d’informer le gestionnaire R&T ainsi que la direction technique.











MISSIONS PRINCIPALES:











Effectuer des travaux en laboratoire ou sur le terrain pour soutenir une étude / expérimentation











Traiter et analyser des données et des résultats











Se tenir au courant des développements scientifiques et techniques pertinents en vue d’orchestrer une feuille de route











Contribuer à la visibilité de la R&T en participant à la publication d’articles scientifiques et techniques, à la création d'affiches, à la présentation des travaux de recherche lors de conférences (invité), ou à la soumission de propositions d'idées ou projets (concours)











Soutenir une proposition et cahier des charges;











Soutenir le démarrage de projet, et jalons (Revue Technique, Transfer Technologique);











Identifier de nouvelles propositions de recherche incluant des collaborations avec les écosystèmes académiques et industriels











Participer à des évaluations par les pairs (peer-review) de travaux scientifiques











La gestion administrative de projet, des contrats liés aux projets, du co-financement, de la protection intellectuelle, au financement Institutionnel, Gouvernemental, ainsi que les crédits à la recherche











La rédaction des minutes meeting reliés à l’avancement des projets











Participer aux activités de recrutement – de personnel ou de subvention











Agir en tant que Conseiller Technique lors de jury, rencontre, événement, atelier de travail, et développement des affaires











Contribuer à un atelier / groupe de travail











Veiller à ce que les normes de qualité soient respectées











Développer des solutions originales aux problèmes











Rencontres de projets avec le client: démontrer / expliquer les résultats de la R&T aux parties prenantes











Supervision : en collaboration avec le product owner, suivre l’exécution des tâches de recherche (sprint planning, task breakdown, backlog), évaluation technologique (spike, whitepaper), ou personnel qui développe la technologie (sprint review, retrospective)











Supervision de technicien, stagiaire, junior, apprenti, professionnel de recherche ainsi que chargé de technologie dans l’exécution de leur mission de recherche











Conception de solutions logicielles ou systèmes dans le but de résoudre un verrou scientifique, technique ou opérationnel











EXIGENCES TECHNIQUES ET REQUIS :











Maîtrise / Doctorat en génie industriel, en génie logiciel, en informatique ou en mathématique. Un baccalauréat dans une autre discipline de l’ingénierie ou en informatique combiné avec de l’expérience complémentaire est également acceptable











3-5 années d’expérience











Connaissance des logiciels Primavera P6 et Microsoft Project











Connaissance approfondie de la programmation par contrainte (langage MiniZinc, solver Chuffed)











Connaissance approfondie du mixed-integer linear programming (modèles programmés en C++ et python, solver CPLEX et/ou GUROBI)











Connaissances des techniques de serial schedule generation schemes, large neighbourhood search, et méthodes de matheuristics











Connaissance des problèmes de type « Resource Constrained Project Scheduling Problem » (RCPSP)











Connaissance des processus décisionnel Markov, hierarchical MDP, agent-based modeling











Connaissance en allocation de ressource (optimisation combinatoire), systèmes d’aide à la décision, et programmation linéaire et quadratique











Atouts: apprentissage par renforcement et algorithmes génétiques











Bonne maîtrise du français parlé et écrit; la maitrise de l’anglais est un atout mais non une exigence.











Atout : être éligible à l’obtention d’une cote de fiabilité ou de sécurité exigées par les contrats du gouvernement fédéral











Avoir de la curiosité intellectuelle, le gout d’apprendre et de se diversifier est essentiel











Avoir des aptitudes pour le travail en équipe et favoriser l’intelligence collective











Un sens aigu de la qualité et des bonnes pratiques











Job Purpose:











Research Scientists are primarily involved in planning, conducting and analyzing experiments, either with a definite end use (to develop new products, processes or commercial applications) or to broaden scientific understanding in general. Although research is often carried out on an individual basis, Research and Technology Lead usually work as part of a larger team and part of the job is to organize periodic follow-up meetings in order to inform the R&T manager as well as the technical direction.











Key Job Functions:











Project meetings with the client: demonstrate / explain R&T results to stakeholders











Supervision: in collaboration with the product owner, follow the execution of research tasks (sprint planning, task breakdown, backlog), technological assessment (spike, whitepaper), or personnel who develop the technology (sprint review, retrospective)











Supervision of technician, intern, junior, apprentice, research professional as well as technology lead in the execution of their research mission











Design of software solutions or systems in order to resolve a scientific, technical or operational issue











Carry out laboratory or in the field work to support a study / experiment











Process and analyze data and results











Keep abreast of relevant scientific and technical developments in order to lead a roadmap











Contribute to R&T visibility by participating in the publication of scientific and technical papers, the creation of posters, the presentation of research work at conferences (guest), or the submission of ideas or projects proposals (competition)











Support proposal and statement of work











Support project kick-off, and milestones (Technical Review, Technology Transfer)











Identify new research proposals including collaborations with academic and industrial ecosystems











Participate in peer-review of scientific work











Management of project, contracts linked to projects, co-financing, intellectual property, Institutional and Governmental funding, as well as research credits











Drafting of meeting minutes related to the progress of projects











Participate in recruitment activities - staff or grants











Act as Technical Advisor during jury, meeting, event, workshop, and business development











Contribute to a workshop / working group











Ensure that quality standards are met











Develop original solutions to problems











Key Skill Requirements:











Master’s / Doctorate degree in computer engineering, software engineering, computer science or mathematics. A bachelor’s degree in other engineering discipline or computer science combined with a complementary experience is also acceptable











3-5 years of experiences











Knowledge of Primavera P6 and Microsoft Project software











In-depth knowledge of constraint programming (MiniZinc language, Chuffed solver)











In-depth knowledge of mixed-integer linear programming (models programmed in C ++ and python, CPLEX solver and / or GUROBI)











Knowledge of serial schedule generation schemes, large neighborhood search techniques, and matheuristics methods











Knowledge of Resource Constrained Project Scheduling Problem (RCPSP) type problems











Knowledge of Markov decision making, hierarchical MDP, agent-based modeling











Knowledge of resource allocation (combinatorial optimization), decision support systems, and linear and quadratic programming











Asset: reinforcement learning and genetic algorithms











Fluent in French spoken and written; fluency in English is an asset but not a requirement











Asset: be eligible for a reliability or security clearance required by federal government contracts











Intellectual curiosity, the desire to learn and to diversify is essential











Have skills for teamwork and foster collective intelligence











A keen sense of quality and good practices











Chez Thales, nous proposons des CARRIÈRES passionnantes, pas de simples emplois. Fort de ses 80 000 collaborateurs dans 68 pays, Thales a mis en place une politique de mobilité permettant, chaque année, à des milliers d'employés de faire progresser leur carrière tant dans leur domaine d’expertise que dans de nouveaux domaines de compétences, cela aussi bien dans leur pays d’origine qu’à l'étranger. Ensemble, nous pensons qu’adopter une politique de flexibilité est une manière plus actuelle de travailler. C’est ici que commence votre parcours exceptionnel, postulez sans tarder!











At Thales we provide CAREERS and not only jobs. With Thales employing 80,000 employees in 68 countries our mobility policy enables thousands of employees each year to develop their careers at home and abroad, in their existing areas of expertise or by branching out into new fields. Together we believe that embracing flexibility is a smarter way of working. Great journeys start here, apply now!











Thales s’engage à promouvoir un lieu de travail diversifié et inclusif pour tous. Thales s’engage à fournir des accommodements à toute les étapes du processus de recrutement. Les candidats retenus pour une entrevue qui ont besoin d’accommodement sont priés d’en informer à la suite de l’invitation pour une entrevue. Nous travaillerons avec vous pour répondre à vos besoins. Toutes les informations relatives à l'accommodement fourni seront traitées de manière confidentielle et utilisées uniquement dans le but de fournir une expérience de candidat accessible.











Thales is committed to a diverse and inclusive workplace for all. Thales is committed to providing accommodations in all parts of the interview process. Applicants selected for an interview who require accommodation are asked to advise accordingly upon the invitation for an interview. We will work with you to meet your needs. All accommodation information provided will be treated as confidential and used only for the purpose of providing an accessible candidate experience.",-1,-1,Quebec,Optimization Operational Research Scientist,-1,-1,-1,-1,-1

6,Hopper,"ABOUT HOPPER























At Hopper, were on a mission to make booking travel faster, easier, and more transparent. We are leveraging the power that comes from combining massive amounts of data and machine learning to build the worlds fastest-growing travel app -- one that enables our customers to save money and travel more. With over $235M CAD in funding from leading investors in both Canada and the US, Hopper is primed to continue its path toward becoming the go-to way to book travel as the world continues its shift to mobile.























Recognized as the fastest-growing travel app by Forbes and one of the worlds most innovative companies by Fast Company two years in a row, Hopper has been downloaded over 40 million times and has helped travelers plan over 100 million trips and counting. The app has received high praise in the form of mobile accolades such as the Webby Award for Best Travel App of 2019, the Google Play Award for Standout Startup of 2016 and Apples App Store Best of 2015.























Take off with us!























THE ROLE











Hopper was built on the premise that the combination of big data and machine learning could make a difference. At Hopper, every dataset tells a story. Do you have what it takes to decipher the clues? bit.ly/2q6U8dq























Were looking for a data-savvy individual to join our User Acquisition team as a Data Analyst. Youll lead our marketing analytics projects around attribution, LTV modelling, ROI analysis, and help uncover insights in our ads and user behavior that allow us to efficiently deploy millions of dollars in ad spend per month. As the first analyst on a rapidly growing team, itll be a great opportunity to have a big impact and lots of ownership.























You might be a fit if youre excited about using your data science skills to help us acquire millions of new users across flights, hotels, and car rentals and help Hopper scale to at least 4X its current user base in 2021.











IN THIS ROLE YOU WILL:










