,Company,Description,Glassdoor Salary Estimate,Industry,Location,Position,Rating,Revenue,Sector,Size,Type,Year Founded

Generate tactical and strategic recommendations to improve marketing effectiveness













Partner with senior leaders to evangelize data-driven business decisions and prioritize projects













What can we expect from you:













Develop statistical and machine learning algorithms to measure effectiveness of marketing













Design experiments and casual inference methods to find actionable insights













Build and maintain a data pipeline that can support complex data projects at scale













Manage and prioritize ad hoc requests for analysis from GBUs and COEs.













Develop core business metrics and create automated dashboards to track performance













Perform analysis on market conditions and overall trends using third party data sources













Drive forecasting model to be used in Integrated Marketing Reviews and Planning













Conduct Marketing Mix Measurement, campaign analysis, program optimization, customer segmentation, ROI analysis, and predictive modeling













Influence data science roadmap by performing exploratory analysis













Provide technical guidance and mentorship to junior team members on solution design













Create a set of heuristics backed by data that predicts product success













Who’s a good fit for this role:













Exceptional written and verbal communication skills, including ability to lead discussions with audiences of varying technical ability













Self-starter attitude with sharp business judgement













High attention to detail













Working knowledge of marketing mathematical tools and methods, marketing test and learn plans, ROI development and data mining/multivariate analysis













Thrive on finding creative solutions and adapting to constantly changing circumstances













Knowledgeable about best practices around data manipulation, building data pipelines, feature engineering and creating dashboards













Experience influencing strategy through data-centric presentations













Capable of tackling very loosely defined problems with minimal guidance













Experience working with real time and clickstream data













You should apply if you have the following:













7+ years experience working with data and utilizing quantitative techniques













Bachelor’s degree from a top school (preferably in a quantitative field)













Expertise with at least two of the standard analysis tools: Excel, SQL, R, Python, Hadoop, Stata, SAS, etc.













Working knowledge of Unix command-line/shell, git and review board













Expertise running advanced analytics in a scripting language













Experience leveraging government data or publicly available APIs













3+ years direct management experience of analysts and data scientists













Proven track record of writing elegant code and coaching others to improve technical outputs













What you can expect from us:



























Our mission is to Make Life More Fun with a vision to push the boundaries of innovation, creativity, and fun. From top leadership to new and veteran team members alike, everyone at Spin Master embodies our Core Values:













Integrity













Open Mindset













Innovation













Partnerships













Collaboration













Driving Results













Entrepreneurship













Follow us on Instagram and Twitter @SpinCareers to stay up to date on Spin Master career opportunities.



























We do appreciate all interest; however only those selected for interview will be contacted.",,Consumer Products Manufacturing,Toronto,"Senior Manager, Data Science",3,$2 to $5 billion (USD),Manufacturing,1001 to 5000 Employees,Company - Public,1994

5,QQuote,"Automotive Software Data Analyst / Tester - Remote













Job Summary













Do you like logic and puzzles? Do your friends/relatives come to you for tech support? Do you often think about your dream-car garage and can rhyme off stats of almost any car?













QQuote is looking for a someone like you to join our fast-growing team as a Data Analyst / Tester. Ideal candidates are detailed oriented and have demonstrated the ability to learn new things quickly. They are strong analytically and can persevere to independently solve problems and deliver working solutions. Successful candidates will also be able to professionally and effectively interact with customers to provide support and training.













Core job responsibilities include maintaining critical databases, analyzing and developing customer performance reports, and product testing. Depending on candidate fit, potential responsibilities could also include onboarding of new dealerships, system requirements definition, new function design, UI/UX screen design.













About QQuote













QQuote is a rapidly growing software startup in the automotive category. We are a small, but very passionate team that deeply cares about the success of our customers, quality of our data, and wellbeing of our intimate team. QQuote’s market leading software was developed by a talented team of software developers and tire experts. Our vision is to take over the automotive industry by being the must-have piece of software for every car dealership. We have car dealers across Canada utilizing our software to easily sell tires, wheels, and accessories both in-store and on the web.













If you have an interest in the automotive world and are excited by the opportunity to join a company with a bright future, we want to meet you! If truly doing a job right and learning from your mistakes is more important to you than simply having the right answer, we want to meet you!













Key Accountabilities













Database Management:













Develop and maintain accessory databases













Learn and help maintain tire and wheel fitment databases













Business data analysis and automated performance reporting:













Analyze system-generated data and identify valuable insights to dealership customers













Identify, measure, and compare KPI’s to help QQuote and its customers assess software impact













Assist in the implementation of an automated reporting system (Power BI, or Data Science)













New function design/software support:













Define new function requirements













Develop preliminary screen designs, UI/UX, logic flow diagrams and user stories













QA testing and requirements compliance













Customer support, onboarding, training:













Support customers to optimize and customize their environment













Deliver remote software demonstrations and help train end customer users













Interface with customers to resolve customer requests and issues and gather feedback













Key Critical Competencies













Eagle-eyed attention to detail













Results oriented (get-stuff-done mindset)













Comfortable looking at data, identifying insights, and proposing direction













Determined problem solving













Independent and quick learner













Can be focused and positive in an ambiguous startup environment













Key Technical Knowledge and Skills













University degree or college diploma in related field













Engineering or software development background experience (QQuote is built on a LAMP stack)













Graphic design, website design, SEO, e-commerce, WordPress













Analytical skills, comfortable working in Excel













Process improvement skill set













Excellent verbal and written communication skills













MS office/Google Suite, databases, Power BI













BONUS: Interest in cars and tire/wheel expertise, French language skills













*













Remuneration:













*













Full-time contract (part-time contract possible for the right candidate)













Remuneration: $40-50K













Opportunity for Bonus pay













Location: Permanently remote













Working hours: flexible, but generally M-F, 9am-5pm (occasional need for extra hours during busy winter tire season, and to support dealerships in various Canadian time zones)













Contract length: 12 months













Part-time hours: 20-40 per week













Application deadline: 2020-12-13













Job Types: Full-time, Part-time, Contract













Salary: $40,000.00-$50,000.00 per year













Additional pay:













Bonus pay













Benefits:













Casual dress













Flexible schedule













Paid time off













Work from home













Schedule:













8 hour shift













Monday to Friday













Education:













DCS / DEC (Required)













Work remotely:













Yes, always",,,Toronto,Automotive Software Data Analyst / Tester - Remote,,,,,,

6,University of Waterloo,"Overview:













Term: 2 years



























To assist in completing biostatistical analyses associated with COMPASS (Cannabis use, Obesity, Mental health, Physical activity, Alcohol use, Smoking, Sedentary behaviour) study data and contribute to the writing of peer reviewed publications and research reports resulting from the data. The Junior Data Analyst is responsible for maintaining the various datasets (student-level, school-level, environmental) and supports data and cleaning operations for COMPASS. The Junior Data Analyst also provides data outputs for Knowledge Translation and Exchange activities and other reports associated with COMPASS.



























This role is contingent on funding.













Responsibilities:













Data Analysis













Conducts relevant analyses for internal/external collaborators and stakeholders involving sophisticated statistical methods (e.g., multi-level modeling, longitudinal analysis, analysis with multiple measures and clustered data) for COMPASS-related peer reviewed publications and reports













Uses various statistical packages (e.g., SAS, STATA, SPSS) to meet the needs of the analysis and stakeholders













Synthesizes quantitative data at the student-level, school-level and environmental-level to inform knowledge-based products for COMPASS













Performs data-linkage activities to incorporate relevant external data from a variety of sources (e.g. Statistics Canada) to COMPASS data













Implements new/complex methods for the analyses of COMPASS data (e.g., decision tree models, innovative methods for evaluating natural experiments, trajectory analyses, etc.)













Reviews graduate student statistics code for research papers/reports



























Development and Management of Datasets













Ensures that student-level, school-level and environmental data are accurate, consistent, properly maintained and shared in compliance with relevant privacy protection, confidentiality and other ethical principles













Identifies and addresses data integrity/reliability issues and uses data cleaning processes to achieve required data quality standards













Works with large data sets to perform data mining and complete statistical analyses













Works with the Program Manager to process data requests from investigators and other data users; maintain electronic records of data usage permissions













Transforms, synthesizes, and cleanses data: identifies opportunities to reduce duplication and errors and to ensure consistency in data; identifies data integrity issues and proposes data cleansing processes to develop clear and consistent data quality standards



























Survey Data Processing













Implements quality control processes for datasets, via cleaning and processing data – e.g. validate data entry; check data against survey documentation; check for out-of range and extreme data values; ensure that variable names are correct, create derived variables













Implements standard operating procedures to create, organize, store, document, extract/export, convert, merge and manipulate large and small data files













Creates and regularly updates school- and environment-level datasets throughout the year as new data are available













Cleans, reviews and identifies missing or incomplete school-level data in real time, and works with the recruitment coordinator to follow-up with contacts accordingly



























Knowledge Translation and Communication













Provides data outputs and creates reports for knowledge translation and exchange activities with external stakeholders, including schools, school boards, public health units and other research groups













Assists in writing documentation reports to accompany the release of large data sets, including microdata user guides, public use microdata files, data codebooks













Contributes to the writing of peer-reviewed scientific publications and technical reports













Prioritizes and responds to ad hoc and routine data inquiries













Prepares reports for Investigators, staff, external data users and stakeholders, including funders













Communicates clearly with external stakeholders



























Task Organization and Prioritization













Assists in the coordinated analyses of data from several large and small projects involving various combinations of investigators and staff using COMPASS data













Demonstrates proficiency in managing competing priorities and time demands from multiple sources



























Consultation, Leadership and Student Mentorship













Advises investigators, staff and graduate students regarding data management and analysis













Responds to questions of a statistical nature from internal and external stakeholders













Consults with Program Manager and collaborators on data analysis plans and database management













Communicates with students regularly throughout the data collection cycle to ensure proper collection methods are followed













Qualifications:













Master’s degree in biostatistics or related discipline with significant biostatistics focus (e.g., Math)













1 – 2 years’ experience performing longitudinal and multi-level regression analyses













Previous data management, manipulation, interpretation and analysis experience is an asset













Demonstrated experience working with large and complex data sets













Experience communicating technical concepts to a non-technical audience is an asset













Experience with technical report writing and writing for peer-reviewed scientific publications













Advanced proficiency in statistical analysis software such as SAS and/or R, including longitudinal and multi-level modeling













Ability to work independently and as part of a team; ability to take initiative and be proactive













Advanced proficiency in Microsoft Excel













Strong organizational skills and ability to meet deadlines













Ability to perform data management and formatting for standard statistical software













Strong verbal and written communication skills with statisticians and non-statisticians, with the ability to convey information to those with limited or no technical knowledge or framework













Ability to apply, identify, and use, a combination of quantitative and qualitative research methods













Ability to work on multiple analytical projects concurrently













Initiative to acquire new skills and remain current with new developments as required",,Colleges & Universities,Waterloo,Junior Data Analyst,4.4,$500 million to $1 billion (USD),Education,1001 to 5000 Employees,College / University,1957

7,Q & A BP Consulting,"Performing requirements analysis













Perform data analysis, reporting and support strategic business initiatives













Assist in root cause analysis and driving resolution of critical production data quality issues as needed













Provide coaching, troubleshooting and training to new users













Managing projects, developing project plans, and monitoring performance.













Updating, implementing and maintaining procedures.













Prioritizing initiatives based on business needs and requirements.













Assets:













Excellent communication skills













Excellent documentation skill













Able to work complex data systems and perform detailed analysis













Have the knowledge of Data visualization tools such as Tableau













Have a superior knowledge of MS Excel (Pivot Tables and V-lookups)













Able to analyze data and interpret the results













Have the knowledge of SQL













Competency in Microsoft applications including Word, Excel, and Outlook.













Industry: Consulting and Business Services













Job Types: Full-time, Permanent













Salary: $42,905.00-$52,440.00 per year













Benefits:













Casual dress













Work from home













Schedule:













8 hour shift













Experience:













Data Analysis: 1 year (Preferred)













Work remotely:













Yes, temporarily due to COVID-19",,,Vaughan,Junior Data Analyst,,,,,,

8,Medlior Health Outcomes Research Ltd.,"About Us













We are currently seeking a highly motivated Data Scientist to join our boutique contract research organization. We work with pharmaceutical companies around the world, including global teams and in-country affiliates from Canada, the US, the UK, and Europe. Our research and consulting services are driven by a focus on methodological rigour. In addition to working with the private sector, we support several research projects undertaken by public section organizations, as well as pursue grant funding to undertake our own research. Our projects leverage a powerful combination of capabilities in health economics, outcomes research, market access, medical writing, data analytics, and epidemiology.













You can learn more about us at www.Medlior.com.













Job Summary













The Data Scientist has the responsibility of working on a variety of diverse health outcomes research projects, under the supervision and guidance of a Principal.













he Data Scientist works collaboratively with other members of project teams to support a positive team culture, grow internal capacity, and seek new opportunities for Medlior to positively impact to global health.













The Data Scientist will work within the Medlior team to complete a variety of project-related tasks when needed, including, but not limited to protocol development, dataset creation and analysis plans, data analysis, reporting and dissemination, liaising with clients, and managing contractors and junior staff. Additionally, the Data Scientist may have the responsibility for signing-off certain project deliverables, with the approval of the Principal on the project.













The position requires work in quantitative research projects. Given the nature of the role, the Data Scientist will need to be comfortable with shifting priorities, a variable workload, and working within the constraints of tight timelines.













Job requirements













Although this role will primarily focus on real-world evidence and data analytics, the Data Scientist will also support other areas of work at Medlior. The job functions of the Data Scientist include, but are not limited to, the following:













o Data management, including using SAS to extract and merge data from Alberta administrative health datasets to assemble meaningful research ready datasets for examining research questions (e.g., cohort derivation, cleaning, linking, deriving variables, and validating datasets)













o Exploratory, descriptive, and inferential analysis in SAS of administrative health data and survey study data according to specifications in project analysis plans; meta-analyses for systematic literature reviews, etc.













o Verification of accuracy of data analysis, interpretation, and reporting of results













o Review (quality control) of code and results from other analysts, including cohort and variable validation and outputs













o Ensuring clear, concise, accurate, and meaningful interpretation, communication, and presentation of results













o Engaging actively with the project team to provide advice on research feasibility, design, methodology, availability of Alberta administrative health data













o Developing analytical plans for proposals and protocols, dataset creation and statistical analysis plans, reporting, and dissemination













o Contributing estimates of timelines and resource allocation for data analysis













o Discussing and approving the analytical strategy with the Biostatistician/Principal













o Conducting literature reviews of methodology to inform study protocols, project proposals, marketing products, build internal capacity, etc.













o Development and implementation of SOPs for Medlior data analytics













o Implementing a data management strategy (e.g. documentation of all analyses and file organization)













o Ensuring data security at Medlior (backing up data, code, etc.)













o Building “Medlior” methodology guides and efficiencies (e.g. SAS Macros) in data management and statistical analysis and ensuring execution of sound and consistent statistical methodology













o Escalating resource/organizational issues to the Project Lead/Principal













o Contributing to or leading client communications and external meetings (regarding analytical materials or issues)













o Ensuring all client feedback has been addressed appropriately or flagged for discussion













o Identifying and discussing the need for scope amendments with the Project Lead/Principal













o Participate in recruiting, selecting, orienting, and training employees













o Coach and mentor junior staff













o Provide and seek regular feedback from all members of project teams













o Continuing to maintain and expand professional skills including expertise in the use of administrative and other health data













o Supporting other projects at Medlior, including evidence generation, health technology assessments, etc.













Qualifications













o Master’s degree in relevant discipline including statistics, biostatistics, epidemiology, health services research, or a related field













o Knowledge of health administrative coding and data holdings available in Alberta













o Understanding of health services research concepts and how to use administrative data in health services research













o Ability to apply statistical and epidemiological methods/principles to health services research is preferred













o Demonstrated experience using SAS with administrative health data including competence in SQL and macro writing













o Demonstrated attention to detail in programming and resolving data anomalies













o Two to five years’ experience with health administrative databases













o High-level proficiency with MS Office applications (Word, Excel, PowerPoint) to develop project deliverables/models













o Strong written and verbal communication skills are essential













o Ability to work effectively in multi-disciplinary project teams and provide direct feedback on tasks completed to ensure high-quality deliverables within agreed timelines












